date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:58	1897118/1897118	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:02%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%204&file=Vapor+Absorption+Refrigeration+System.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Vapor%20Absorption%20Refrigeration%20System94c3.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%204)
17:06:13	127798/127798	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:17%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%205&file=Psychrometry+of+Air-Conditioning+Processes+2.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Psychrometry%20of%20Air-Conditioning%20Processes%2025e55.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%205)
17:06:15	11954038/11954038	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:14%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%205&file=Psychrometry+of+Air-Conditioning+Processes+1.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Psychrometry%20of%20Air-Conditioning%20Processes%20148f2.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%205)
17:06:22	4524060/4524060	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:23%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%206&file=Air+Conditioning+System+and+Controls.pptx	D:/New%20folder/9to5notes/9to5notes.in/unit/Air%20Conditioning%20System%20and%20Controlseb7c.pptx	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%206)
17:06:23	123781/123781	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:24%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%206&file=Air+Conditioning.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Air%20Conditioningeccd.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%206)
17:06:25	276007/276007	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:29%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%206&file=Humidifiers+and+Dehumidifiers.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Humidifiers%20and%20Dehumidifiers6735.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Refrigeration%20and%20Air%20Conditioning&unit=Unit%206)
17:06:29	688128/688128	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:30%20GMT	https://9to5notes.in/unit/download.php?course=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%201&file=Number+System.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Number%20System3cfa.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%201)
17:06:29	1127424/1127424	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:31%20GMT	https://9to5notes.in/unit/download.php?course=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%201&file=Percentage.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Percentagee608.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%201)
17:06:31	765952/765952	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:35%20GMT	https://9to5notes.in/unit/download.php?course=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%202&file=Alligation+and+Mixture.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Alligation%20and%20Mixturea8c5.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%202)
17:06:32	423424/423424	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:36%20GMT	https://9to5notes.in/unit/download.php?course=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%202&file=Profit+And+Loss.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Profit%20And%20Lossb8aa.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%202)
17:06:35	353792/353792	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:37%20GMT	https://9to5notes.in/unit/download.php?course=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%202&file=Ratio+and+Proportion.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Ratio%20and%20Proportionb4d1.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%202)
17:06:35	394752/394752	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:36:38%20GMT	https://9to5notes.in/unit/download.php?course=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%203&file=Simple+Interest+%26+Compound+Interest.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Simple%20Interest%20&%20Compound%20Interestdd2b.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_3rd_Year&subject=Quantitative%20Aptitude&unit=Unit%203)
